STOCK,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EXCHANGE 
A,02/03/2021,123.50,124.60,121.90,122.15,1448400,N
AA,02/03/2021,19.11,20.18,18.85,19.90,10453600,N
AAA,02/03/2021,25.20,25.40,25.12,25.12,1100,A
AAAU,02/03/2021,18.29,18.32,18.22,18.25,538500,A
AABB,02/03/2021,0.0170,0.0170,0.0135,0.0158,53447500,U
AABVF,02/03/2021,0.1950,0.2217,0.1591,0.2180,143100,U
AAC.U,02/03/2021,10.48,10.75,10.48,10.52,8790200,N
AACAF,02/03/2021,5.4500,5.4500,5.4500,5.4500,100,U
AACAY,02/03/2021,5.5600,5.6200,5.3200,5.3700,33700,U
AACG,02/03/2021,1.41,1.41,1.35,1.36,21200,Q
AACQ,02/03/2021,10.93,11.16,10.93,11.14,1072000,Q
AACQU,02/03/2021,11.850,11.970,11.805,11.970,11900,Q
AACQW,02/03/2021,2.25,2.50,2.24,2.41,297200,Q
AACS,02/03/2021,0.0017,0.0017,0.0017,0.0017,100000,U
AACTF,02/03/2021,0.2540,0.2625,0.2450,0.2528,353400,U
AADR,02/03/2021,63.8200,63.8900,63.7300,63.8187,2900,A
AAGC,02/03/2021,0.0010,0.0010,0.0008,0.0010,4698400,U
AAGFF,02/03/2021,1.0650,1.1000,0.9611,0.9831,343300,U
AAGH,02/03/2021,0.1950,0.1950,0.1600,0.1900,341300,U
AAGIY,02/03/2021,51.2700,51.2700,49.9960,50.7300,439800,U
AAI-C,02/03/2021,21.835,21.835,21.835,21.835,300,N
AAIC,02/03/2021,3.58,3.66,3.55,3.64,226200,N
AAIGF,02/03/2021,12.7400,12.8200,12.4000,12.6200,27700,U
AAIRF,02/03/2021,0.2271,0.2593,0.2271,0.2593,86600,U
AAL,02/03/2021,16.61,17.72,16.49,17.60,61414800,Q
AAMAF,02/03/2021,0.4000,0.4000,0.4000,0.4000,1300,U
AAMC,02/03/2021,22.0000,22.0909,21.0200,22.0500,3500,A
AAME,02/03/2021,2.3200,2.3200,2.2511,2.2800,8300,Q
AAMMF,02/03/2021,0.1710,0.2000,0.1551,0.2000,56300,U
AAN,02/03/2021,18.3700,18.5538,17.8900,17.9900,249700,N
AANNF,02/03/2021,7.0500,7.0500,7.0500,7.0500,5000,U
AAOI,02/03/2021,10.72,11.03,10.61,10.86,439800,Q
AAON,02/03/2021,75.46,76.76,74.99,75.54,138600,Q
AAP,02/03/2021,155.110,156.330,152.135,155.280,1226900,N
AAPJ,02/03/2021,0.0491,0.0696,0.0491,0.0696,67000,U
AAPL,02/03/2021,135.76,135.77,133.61,133.94,89880900,Q
AAPT,02/03/2021,0.0010,0.0013,0.0010,0.0013,32200000,U
AASP,02/03/2021,1.6500,2.0500,1.5000,1.9800,21100,U
AASZF,02/03/2021,17.0600,17.0600,17.0600,17.0600,100,U
AAT,02/03/2021,27.74,28.26,27.30,28.19,156300,N
AATGF,02/03/2021,0.0615,0.0615,0.0615,0.0615,200,U
AATRL,02/03/2021,50.0000,50.0000,49.4000,50.0000,1300,U
AATV,02/03/2021,0.4998,0.4998,0.4998,0.4998,2100,U
AAU,02/03/2021,0.800,0.810,0.716,0.745,5011300,A
AAUKF,02/03/2021,33.5400,33.5400,33.2700,33.2700,44200,U
AAVMY,02/03/2021,10.1800,10.2700,10.1600,10.2600,6700,U
AAVVF,02/03/2021,1.7500,1.7786,1.7498,1.7767,4600,U
AAWW,02/03/2021,52.40,53.62,51.66,51.87,415700,Q
AAXJ,02/03/2021,98.190,98.308,97.650,98.110,1507100,Q
AAZZF,02/03/2021,1.5000,1.5035,1.3100,1.4400,164900,U
AB,02/03/2021,37.61,37.66,36.89,37.02,677500,N
ABB,02/03/2021,30.460,30.640,30.385,30.560,1778800,N
ABBRF,02/03/2021,0.3870,0.3870,0.3311,0.3417,561500,U
ABBV,02/03/2021,106.20,107.57,104.01,106.95,12101800,N
ABBY,02/03/2021,0.0110,0.0110,0.0100,0.0100,205100,U
ABC,02/03/2021,105.18,106.08,103.40,105.53,1340100,N
ABCAF,02/03/2021,0.1504,0.1511,0.1429,0.1511,44400,U
ABCB,02/03/2021,41.11,42.06,40.80,41.97,327000,Q
ABCE,02/03/2021,0.0544,0.0546,0.0450,0.0453,398700,U
ABCFF,02/03/2021,0.0981,0.0989,0.0900,0.0978,122200,U
ABCL,02/03/2021,49.72,49.97,48.15,48.55,579600,Q
ABCM,02/03/2021,22.52,22.52,22.08,22.08,82400,Q
ABCP,02/03/2021,0.3750,0.3750,0.3200,0.3334,10400,U
ABCZF,02/03/2021,22.1691,22.1691,22.1691,22.1691,10000,U
ABEO,02/03/2021,2.08,2.42,2.06,2.34,6599600,Q
ABEPF,02/03/2021,0.0513,0.0513,0.0496,0.0496,4000,U
ABEQ,02/03/2021,25.87,25.87,25.50,25.65,4100,A
ABEV,02/03/2021,2.9700,3.0100,2.9213,2.9600,19115600,N
ABG,02/03/2021,145.9500,147.1358,138.4250,146.7700,189400,N
ABILF,02/03/2021,0.6500,0.6500,0.5800,0.5800,1100,U
ABIO,02/03/2021,4.48,4.71,4.47,4.54,556400,Q
ABLE,02/03/2021,0.0010,0.0850,0.0010,0.0010,34400,U
ABLZF,02/03/2021,31.1200,31.2000,29.8000,29.8000,104800,U
ABM,02/03/2021,38.36,38.80,37.58,38.71,248700,N
ABMBF,02/03/2021,0.1150,0.1170,0.1100,0.1100,42500,U
ABMC,02/03/2021,0.1989,0.1996,0.1722,0.1950,209900,U
ABMD,02/03/2021,327.9200,335.9664,321.0100,326.2300,792300,Q
ABML,02/03/2021,4.0800,4.2000,3.6500,3.8400,7820800,U
ABMT,02/03/2021,0.2010,0.2010,0.1890,0.1890,3200,U
ABNAF,02/03/2021,0.0536,0.0595,0.0536,0.0576,18400,U
ABNB,02/03/2021,181.98,190.90,180.00,185.72,4168900,Q
ABPR,02/03/2021,0.0014,0.0016,0.0014,0.0015,1580700,U
ABQQ,02/03/2021,0.0900,0.0900,0.0715,0.0850,4042800,U
ABR,02/03/2021,14.8500,14.9946,14.7300,14.7700,799500,N
ABR-A,02/03/2021,25.93,26.00,25.90,25.98,2300,N
ABR-B,02/03/2021,25.69,25.70,25.68,25.70,1000,N
ABR-C,02/03/2021,26.33,26.35,26.33,26.35,1200,N
ABSSF,02/03/2021,12.9400,13.1600,12.8308,13.0800,2400,U
ABST,02/03/2021,13.35,13.35,12.99,13.24,28500,Q
ABT,02/03/2021,119.29,120.89,118.90,120.22,4992000,N
ABTI,02/03/2021,1.1500,1.1500,1.1500,1.1500,500,U
ABTO,02/03/2021,0.7000,0.7000,0.3840,0.6980,800,U
ABTX,02/03/2021,36.06,36.55,35.81,36.32,43200,Q
ABUS,02/03/2021,3.96,4.02,3.86,3.90,1912500,Q
ABVC,02/03/2021,4.9000,4.9500,4.9000,4.9500,200,U
ABVG,02/03/2021,0.0005,0.0005,0.0004,0.0004,362453700,U
ABVN,02/03/2021,0.1010,0.1011,0.1010,0.1011,600,U
ABWN,02/03/2021,0.0005,0.0005,0.0003,0.0004,138519500,U
ABXXF,02/03/2021,3.0500,3.0500,2.7800,2.7800,102000,U
