underlying_symbol,date,expiration_type,type,symbol,strike,exchange,currency,open,high,low,last,last_size,change,pctchange,previous,previous_date,bid,bid_date,bid_size,ask,ask_date,ask_size,moneyness,volume,volume_change,volume_pctchange,open_interest,open_interest_change,open_interest_pctchange,volatility,volatility_change,volatility_pctchange,theoretical,delta,gamma,theta,vega,rho,tradetime,vol_oi_ratio,dte,midpoint
A,2022-01-21,monthly,call,A220121C00032500,32.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,87.30,"2021-02-03 21:16:18",30,92.00,"2021-02-03 21:16:18",31,0.73393369,0,0,0.00,0,0,0.00,0.0000,0.0000,0.00,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,-0001-11-29,0.00,351,89.65
A,2022-01-21,monthly,call,A220121C00035000,35.00,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,85.00,"2021-02-03 21:17:20",32,90.00,"2021-02-03 21:17:20",32,0.71346705,0,0,0.00,0,0,0.00,0.5333,0.5333,0.00,87.50,0.986243,0.000363,-0.002960,0.038620,0.272550,-0001-11-29,0.00,351,87.50
A,2022-01-21,monthly,call,A220121C00037500,37.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,82.60,"2021-02-03 21:17:16",30,87.20,"2021-02-03 21:17:16",30,0.69300041,0,0,0.00,0,0,0.00,0.4674,0.4674,0.00,84.90,0.988473,0.000324,-0.002115,0.029993,0.310481,-0001-11-29,0.00,351,84.90
A,2022-01-21,monthly,call,A220121C00040000,40.00,NYSE,USD,0.00,0.00,0.00,37.00,0,37.00,0.00,0.00,0000-00-00,80.00,"2021-02-03 21:17:15",32,85.00,"2021-02-03 21:17:15",32,0.67253377,0,0,0.00,3,3,0.00,0.4615,0.4615,0.00,82.50,0.985814,0.000405,-0.002683,0.037606,0.356897,-0001-11-29,0.00,351,82.50
A,2022-01-21,monthly,call,A220121C00042500,42.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,77.50,"2021-02-03 21:16:18",32,82.50,"2021-02-03 21:16:18",32,0.65206713,0,0,0.00,0,0,0.00,0.4272,0.4272,0.00,80.00,0.985876,0.000415,-0.002495,0.035730,0.408758,-0001-11-29,0.00,351,80.00
A,2022-01-21,monthly,call,A220121C00045000,45.00,NYSE,USD,51.50,51.50,51.50,51.50,30,13.25,34.64,38.25,2020-09-05,75.00,"2021-02-03 21:16:18",32,80.00,"2021-02-03 21:16:18",32,0.63160049,30,30,0.00,30,30,0.00,0.3930,0.3930,0.00,77.50,0.986161,0.000411,-0.002270,0.032651,0.468163,2020-09-08,1.00,351,77.50
A,2022-01-21,monthly,call,A220121C00047500,47.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,72.50,"2021-02-03 21:17:20",32,77.50,"2021-02-03 21:17:20",32,0.61113385,0,0,0.00,0,0,0.00,0.3576,0.3576,0.00,75.00,0.986875,0.000385,-0.001999,0.027902,0.529981,-0001-11-29,0.00,351,75.00
A,2022-01-21,monthly,call,A220121C00050000,50.00,NYSE,USD,56.40,56.40,56.40,56.40,1,1.90,3.49,54.50,2020-10-22,70.50,"2021-02-03 21:16:18",32,75.50,"2021-02-03 21:16:18",32,0.59066721,1,1,0.00,2,2,0.00,0.4298,0.4298,0.00,73.00,0.973108,0.000813,-0.005059,0.071786,0.546599,2020-10-22,0.50,351,73.00
A,2022-01-21,monthly,call,A220121C00055000,55.00,NYSE,USD,0.00,0.00,0.00,33.60,0,33.60,0.00,0.00,0000-00-00,65.00,"2021-02-03 21:17:20",32,70.00,"2021-02-03 21:17:20",32,0.54973393,0,0,0.00,2,2,0.00,0.5435,0.5435,0.00,70.00,0.937885,0.001443,-0.013255,0.162210,0.543084,-0001-11-29,0.00,351,67.50
A,2022-01-21,monthly,call,A220121C00057500,57.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,63.10,"2021-02-03 21:16:18",30,67.90,"2021-02-03 21:16:18",30,0.52926729,0,0,0.00,0,0,0.00,0.3471,0.3471,0.00,65.50,0.973801,0.000917,-0.004403,0.065904,0.700167,-0001-11-29,0.00,351,65.50
A,2022-01-21,monthly,call,A220121C00060000,60.00,NYSE,USD,65.75,65.75,65.75,65.75,1,6.62,11.20,59.13,2021-01-26,60.80,"2021-02-03 21:15:42",30,65.50,"2021-02-03 21:15:42",31,0.50880065,1,1,0.00,1,1,0.00,0.3420,0.3420,0.00,63.15,0.969710,0.001089,-0.005053,0.077261,0.735353,2021-01-26,1.00,351,63.15
A,2022-01-21,monthly,call,A220121C00062500,62.50,NYSE,USD,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0000-00-00,58.10,"2021-02-03 21:16:16",31,63.00,"2021-02-03 21:16:16",31,0.48833402,0,0,0.00,0,0,0.00,0.3023,0.3023,0.00,60.55,0.974178,0.000998,-0.004196,0.062629,0.796648,-0001-11-29,0.00,351,60.55
A,2022-01-21,monthly,call,A220121C00065000,65.00,NYSE,USD,28.28,28.28,28.28,28.28,2,16.46,139.26,11.82,2020-07-08,56.00,"2021-02-03 21:15:49",30,59.50,"2021-02-03 21:15:49",30,0.46786738,2,2,0.00,7,7,0.00,0.4072,0.4072,0.00,59.50,0.936528,0.001919,-0.010770,0.162092,0.731275,2020-07-08,0.29,351,57.75
A,2022-01-21,monthly,call,A220121C00067500,67.50,NYSE,USD,48.65,48.65,48.65,48.65,15,35.10,259.04,13.55,2020-11-26,53.70,"2021-02-03 21:16:18",30,58.30,"2021-02-03 21:16:18",30,0.44740074,15,15,0.00,20,20,0.00,0.3096,0.3096,0.00,56.00,0.959964,0.001594,-0.006275,0.102531,0.841822,2020-11-27,0.75,351,56.00
A,2022-01-21,monthly,call,A220121C00070000,70.00,NYSE,USD,41.40,41.40,41.40,41.40,4,2.90,7.53,38.50,2020-11-17,51.90,"2021-02-03 21:15:48",30,55.60,"2021-02-03 21:15:48",30,0.42693410,5,5,0.00,9,9,0.00,0.3098,0.3098,0.00,53.75,0.952143,0.001906,-0.007287,0.122678,0.862193,2020-11-17,0.56,351,53.75
A,2022-01-21,monthly,call,A220121C00072500,72.50,NYSE,USD,0.00,0.00,0.00,15.53,0,15.53,0.00,0.00,0000-00-00,49.30,"2021-02-03 21:15:50",30,53.70,"2021-02-03 21:15:50",30,0.40646746,0,0,0.00,11,11,0.00,0.3074,0.3074,0.00,51.50,0.944268,0.002222,-0.008208,0.141933,0.882238,-0001-11-29,0.00,351,51.50
A,2022-01-21,monthly,call,A220121C00075000,75.00,NYSE,USD,0.00,0.00,0.00,17.00,0,17.00,0.00,0.00,0000-00-00,46.60,"2021-02-03 21:14:45",30,51.40,"2021-02-03 21:14:45",30,0.38600082,0,0,0.00,7,7,0.00,0.2867,0.2867,0.00,49.00,0.943713,0.002399,-0.008018,0.142996,0.919375,-0001-11-29,0.00,351,49.00
A,2022-01-21,monthly,call,A220121C00077500,77.50,NYSE,USD,40.00,40.00,40.00,40.00,15,24.93,165.43,15.07,2020-11-26,44.90,"2021-02-03 21:15:46",30,49.10,"2021-02-03 21:15:46",30,0.36553418,15,15,0.00,47,47,0.00,0.2976,0.2976,0.00,47.00,0.927950,0.002896,-0.009824,0.179108,0.920868,2020-11-27,0.32,351,47.00
A,2022-01-21,monthly,call,A220121C00080000,80.00,NYSE,USD,28.28,28.28,28.28,28.28,1,5.18,22.42,23.10,2020-10-03,42.40,"2021-02-03 21:16:18",30,46.60,"2021-02-03 21:16:18",30,0.34506754,1,1,0.00,31,31,0.00,0.2778,0.2778,0.00,44.50,0.926326,0.003160,-0.009634,0.182505,0.954723,2020-10-05,0.03,351,44.50
A,2022-01-21,monthly,call,A220121C00082500,82.50,NYSE,USD,32.09,32.09,32.09,32.09,2,21.64,207.08,10.45,2020-11-12,40.80,"2021-02-03 21:14:48",31,42.90,"2021-02-03 21:14:48",30,0.32460090,2,2,0.00,2,2,0.00,0.2504,0.2504,0.00,41.85,0.929668,0.003364,-0.008878,0.175070,0.998394,2020-11-12,1.00,351,41.85
A,2022-01-21,monthly,call,A220121C00085000,85.00,NYSE,USD,22.02,22.02,21.63,21.63,1,5.63,35.19,16.00,2020-08-28,39.60,"2021-02-03 21:15:46",45,40.90,"2021-02-03 21:15:46",45,0.30413426,2,2,0.00,20,20,0.00,0.2754,0.2754,0.00,40.25,0.900909,0.004095,-0.011773,0.234412,0.971189,2020-08-28,0.10,351,40.25
A,2022-01-21,monthly,call,A220121C00087500,87.50,NYSE,USD,13.10,13.10,13.10,13.10,1,13.10,0.00,0.00,0000-00-00,37.60,"2021-02-03 21:15:47",20,38.60,"2021-02-03 21:15:47",31,0.28366762,1,1,0.00,1,1,0.00,0.2707,0.2707,0.00,38.10,0.888465,0.004580,-0.012594,0.257623,0.980488,2020-06-29,1.00,351,38.10
A,2022-01-21,monthly,call,A220121C00090000,90.00,NYSE,USD,32.70,32.70,32.70,32.70,1,5.32,19.43,27.38,2020-12-23,35.60,"2021-02-03 21:15:27",40,36.60,"2021-02-03 21:15:27",45,0.26320098,1,1,0.00,16,16,0.00,0.2701,0.2701,0.00,36.10,0.872175,0.005098,-0.013723,0.286183,0.980735,2020-12-23,0.06,351,36.10
A,2022-01-21,monthly,call,A220121C00092500,92.50,NYSE,USD,31.95,31.95,31.95,31.95,1,0.70,2.24,31.25,2021-01-28,31.90,"2021-02-03 21:14:34",30,36.10,"2021-02-03 21:14:34",30,0.24273434,1,1,0.00,2,2,0.00,0.2646,0.2646,0.00,34.00,0.857751,0.005636,-0.014458,0.309854,0.985495,2021-01-28,0.50,351,34.00
A,2022-01-21,monthly,call,A220121C00095000,95.00,NYSE,USD,36.02,36.02,36.02,36.02,1,13.22,57.98,22.80,2021-01-15,31.80,"2021-02-03 21:15:59",20,32.40,"2021-02-03 21:15:59",30,0.22226770,1,1,0.00,8,8,0.00,0.2640,0.2640,0.00,32.10,0.838863,0.006174,-0.015548,0.338750,0.979971,2021-01-15,0.13,351,32.10
A,2022-01-21,monthly,call,A220121C00097500,97.50,NYSE,USD,33.35,33.35,33.35,33.35,1,20.35,156.54,13.00,2021-01-16,29.70,"2021-02-03 21:16:17",30,30.40,"2021-02-03 21:16:17",20,0.20180106,1,1,0.00,23,23,0.00,0.2577,0.2577,0.00,30.05,0.822342,0.006764,-0.016158,0.362227,0.980476,2021-01-19,0.04,351,30.05
A,2022-01-21,monthly,call,A220121C00100000,100.00,NYSE,USD,32.39,32.39,32.39,32.39,1,0.34,1.06,32.05,2021-01-13,28.00,"2021-02-03 21:15:35",20,28.50,"2021-02-03 21:15:35",10,0.18133442,1,1,0.00,65,65,0.00,0.2570,0.2570,0.00,28.25,0.801031,0.007307,-0.017148,0.390213,0.969306,2021-01-13,0.02,351,28.25
A,2022-01-21,monthly,call,A220121C00105000,105.00,NYSE,USD,28.35,28.35,28.35,28.35,1,6.00,26.85,22.35,2021-01-16,24.50,"2021-02-03 21:14:53",34,25.00,"2021-02-03 21:17:20",10,0.14040115,1,1,0.00,15,15,0.00,0.2534,0.2534,0.00,24.75,0.756259,0.008381,-0.018780,0.441297,0.941931,2021-01-19,0.07,351,24.75
A,2022-01-21,monthly,call,A220121C00110000,110.00,NYSE,USD,16.60,16.60,16.60,16.60,7,-0.50,-2.92,17.10,2020-12-05,21.20,"2021-02-03 21:14:34",20,21.70,"2021-02-03 21:17:04",10,0.09946787,7,7,0.00,82,82,0.00,0.2488,0.2488,0.00,21.45,0.707722,0.009400,-0.020025,0.486008,0.905322,2020-12-07,0.09,351,21.45
A,2022-01-21,monthly,call,A220121C00115000,115.00,NYSE,USD,23.25,23.25,23.25,23.25,1,7.85,50.97,15.40,2021-01-09,18.10,"2021-02-03 21:16:26",43,18.70,"2021-02-03 21:16:26",23,0.05853459,2,2,0.00,40,40,0.00,0.2442,0.2442,0.00,18.40,0.655480,0.010303,-0.020895,0.522866,0.858927,2021-01-11,0.05,351,18.40
A,2022-01-21,monthly,call,A220121C00120000,120.00,NYSE,USD,16.30,16.30,16.30,16.30,1,0.60,3.82,15.70,2021-02-03,15.30,"2021-02-03 21:15:08",202,16.10,"2021-02-03 21:15:08",43,0.01760131,1,1,0.00,91,91,0.00,0.2522,0.2522,0.00,16.30,0.600741,0.010493,-0.022273,0.549832,0.795046,2021-02-03,0.01,351,15.70
A,2022-01-21,monthly,call,A220121C00125000,125.00,NYSE,USD,13.62,13.62,13.62,13.62,1,1.22,9.84,12.40,2021-02-03,12.70,"2021-02-03 21:15:56",217,13.60,"2021-02-03 21:15:56",75,-0.02333197,1,1,0.00,56,56,0.00,0.2445,0.2445,0.00,13.62,0.545619,0.011132,-0.022076,0.565523,0.738593,2021-02-03,0.02,351,13.15
A,2022-01-21,monthly,call,A220121C00130000,130.00,NYSE,USD,11.50,11.50,11.50,11.50,5,-1.50,-11.54,13.00,2021-02-03,10.30,"2021-02-03 21:15:52",277,11.50,"2021-02-03 21:15:52",46,-0.06426525,5,3,150.00,81,0,0.00,0.2422,-0.0172,-6.62,11.50,0.490897,0.011326,-0.021868,0.570039,0.675020,2021-02-03,0.06,351,10.90
A,2022-01-21,monthly,call,A220121C00135000,135.00,NYSE,USD,9.60,9.60,9.60,9.60,1,0.00,0.00,9.60,2021-02-03,9.00,"2021-02-03 21:15:08",156,9.60,"2021-02-03 21:15:08",40,-0.10519853,7,7,0.00,47,47,0.00,0.2394,0.2394,0.00,9.60,0.436922,0.011332,-0.021235,0.563784,0.609654,2021-02-03,0.15,351,9.30
A,2022-01-21,monthly,call,A220121C00140000,140.00,NYSE,USD,7.73,7.73,7.73,7.73,1,-1.87,-19.48,9.60,2021-01-30,7.40,"2021-02-03 21:15:50",63,7.90,"2021-02-03 21:15:50",24,-0.14613181,1,1,0.00,14,14,0.00,0.2314,0.2314,0.00,7.65,0.379851,0.011346,-0.019774,0.545467,0.539714,2021-02-01,0.07,351,7.65
A,2022-01-21,monthly,call,A220121C00145000,145.00,NYSE,USD,6.38,6.38,6.38,6.38,1,1.43,28.89,4.95,2021-01-30,6.00,"2021-02-03 21:15:30",83,6.50,"2021-02-03 21:15:30",21,-0.18706508,1,1,0.00,17,17,0.00,0.2291,0.2291,0.00,6.25,0.329729,0.010907,-0.018529,0.519146,0.473939,2021-02-01,0.06,351,6.25
A,2022-01-21,monthly,call,A220121C00150000,150.00,NYSE,USD,6.60,6.60,6.60,6.60,1,0.05,0.76,6.55,2021-01-21,4.90,"2021-02-03 21:16:08",91,5.40,"2021-02-03 21:16:08",27,-0.22799836,1,1,0.00,9,9,0.00,0.2287,0.2287,0.00,5.15,0.285393,0.010259,-0.017274,0.487485,0.413827,2021-01-21,0.11,351,5.15
A,2022-01-21,monthly,call,A220121C00155000,155.00,NYSE,USD,3.20,3.20,3.20,3.20,1,0.86,36.75,2.34,2020-12-25,3.90,"2021-02-03 21:15:48",117,4.50,"2021-02-03 21:15:48",45,-0.26893164,7,7,0.00,10,10,0.00,0.2278,0.2278,0.00,4.20,0.244581,0.009527,-0.015842,0.450933,0.357623,2020-12-28,0.70,351,4.20
A,2022-01-21,monthly,call,A220121C00160000,160.00,NYSE,USD,3.74,3.74,3.74,3.74,6,-0.26,-6.50,4.00,2021-01-26,2.80,"2021-02-03 21:14:48",260,3.80,"2021-02-03 21:14:48",91,-0.30986492,6,6,0.00,55,55,0.00,0.2243,0.2243,0.00,3.30,0.204466,0.008742,-0.014049,0.407509,0.301909,2021-01-26,0.11,351,3.30
A,2022-01-21,monthly,call,A220121C00165000,165.00,NYSE,USD,2.90,2.90,2.90,2.90,2,0.10,3.57,2.80,2021-01-30,2.55,"2021-02-03 21:14:51",111,3.00,"2021-02-03 21:14:51",39,-0.35079820,2,2,0.00,21,21,0.00,0.2268,0.2268,0.00,2.78,0.176574,0.007904,-0.012929,0.372522,0.261766,2021-02-01,0.10,351,2.78
